source,target,country,meaning,source_word
They bought a new sofa.,They bought a new Chesterfield.,Canada,A comfortable seating furniture,sofa
She fell asleep on the sofa.,She fell asleep on the Chesterfield.,Canada,A comfortable seating furniture,sofa
"fried chicken for dinner, right?","fried chicken for dinner, eh?",Canada,A phrase used to confirm a statement,"fried chicken for dinner, right?"
"We?re having fried chicken for dinner, right?","We?re having fried chicken for dinner, eh?",Canada,A phrase used to confirm a statement,"fried chicken for dinner, right?"
"That?s fried chicken for dinner, right?","That?s fried chicken for dinner, eh?",Canada,A phrase used to confirm a statement,"fried chicken for dinner, right?"
"You want fried chicken for dinner, right?","You want fried chicken for dinner, eh?",Canada,A phrase used to confirm a statement,"fried chicken for dinner, right?"
"They?re making fried chicken for dinner, right?","They?re making fried chicken for dinner, eh?",Canada,A phrase used to confirm a statement,"fried chicken for dinner, right?"
hoodie,bunny hug,Canada,A sweatshirt with a hood,hoodie
He?s wearing a hoodie today.,He?s wearing a bunny hug today.,Canada,A sweatshirt with a hood,hoodie
I bought a new hoodie.,I bought a new bunny hug.,Canada,A sweatshirt with a hood,hoodie
She loves her warm hoodie.,She loves her warm bunny hug.,Canada,A sweatshirt with a hood,hoodie
The hoodie is in my bag.,The bunny hug is in my bag.,Canada,A sweatshirt with a hood,hoodie
keen,interested,British,Showing enthusiasm or eagerness,keen
I'm quite keen to join the club.,I'm quite interested to join the club.,British,Showing enthusiasm or eagerness,keen
He's always keen on learning new things.,He's always interested in learning new things.,British,Showing enthusiasm or eagerness,keen
She's keen to start her new job.,She's interested to start her new job.,British,Showing enthusiasm or eagerness,keen
They seem very keen on traveling.,They seem very interested in traveling.,British,Showing enthusiasm or eagerness,keen
peckish,a little hungry,British,Feeling slightly hungry,peckish
I'm feeling a bit peckish.,I'm feeling a little hungry.,British,Feeling slightly hungry,peckish
She always gets peckish in the afternoon.,She always gets a little hungry in the afternoon.,British,Feeling slightly hungry,peckish
Are you peckish for a snack?,Are you a little hungry for a snack?,British,Feeling slightly hungry,peckish
He became peckish after the long walk.,He became a little hungry after the long walk.,British,Feeling slightly hungry,peckish
peng,very attractive,British,Extremely appealing or attractive,peng
That guy is really peng.,That guy is very attractive.,British,Extremely appealing or attractive,peng
She looked peng in that outfit.,She looked very attractive in that outfit.,British,Extremely appealing or attractive,peng
Everyone says he's peng.,Everyone says he's very attractive.,British,Extremely appealing or attractive,peng
The new model is absolutely peng.,The new model is absolutely very attractive.,British,Extremely appealing or attractive,peng
candy,sweets/lollies,British,Sweet treats made with sugar,candy
He bought some candy from the store.,He bought some sweets from the store.,British,Sweet treats made with sugar,candy
Do you like candy?,Do you like sweets?,British,Sweet treats made with sugar,candy
She offered me some candy.,She offered me some lollies.,British,Sweet treats made with sugar,candy
The kids love eating candy.,The kids love eating sweets.,British,Sweet treats made with sugar,candy
cotton candy,candy floss/fairy floss,British,"A fluffy, spun sugar treat",cotton candy
She bought some cotton candy at the fair.,She bought some candy floss at the fair.,British,"A fluffy, spun sugar treat",cotton candy
The kids were excited about the cotton candy.,The kids were excited about the candy floss.,British,"A fluffy, spun sugar treat",cotton candy
He enjoys cotton candy at the carnival.,He enjoys candy floss at the carnival.,British,"A fluffy, spun sugar treat",cotton candy
They sell cotton candy in various colors.,They sell candy floss in various colors.,British,"A fluffy, spun sugar treat",cotton candy
french fries,chips,Australia,"Thinly sliced, deep-fried potatoes",french fries
I ordered french fries with my burger.,I ordered chips with my burger.,Australia,"Thinly sliced, deep-fried potatoes",french fries
She loves eating french fries.,She loves eating chips.,Australia,"Thinly sliced, deep-fried potatoes",french fries
The kids asked for french fries.,The kids asked for chips.,Australia,"Thinly sliced, deep-fried potatoes",french fries
They serve french fries at the cafÃ©.,They serve chips at the cafÃ©.,Australia,"Thinly sliced, deep-fried potatoes",french fries
candy,sweets/lollies,Australia,Sweet treats made with sugar,candy
I bought some candy for the road trip.,I bought some lollies for the road trip.,Australia,Sweet treats made with sugar,candy
Do you want some candy?,Do you want some sweets?,Australia,Sweet treats made with sugar,candy
The shop sells a variety of candy.,The shop sells a variety of sweets.,Australia,Sweet treats made with sugar,candy
They gave out candy on Halloween.,They gave out lollies on Halloween.,Australia,Sweet treats made with sugar,candy
cotton candy,candy floss/fairy floss,Australia,"A fluffy, spun sugar treat",cotton candy
The carnival had a cotton candy stand.,The carnival had a fairy floss stand.,Australia,"A fluffy, spun sugar treat",cotton candy
She loves the taste of cotton candy.,She loves the taste of fairy floss.,Australia,"A fluffy, spun sugar treat",cotton candy
Cotton candy is a popular fair treat.,Fairy floss is a popular fair treat.,Australia,"A fluffy, spun sugar treat",cotton candy
They make cotton candy in different colors.,They make fairy floss in different colors.,Australia,"A fluffy, spun sugar treat",cotton candy
bathroom,toilet/loo,British,A room containing a toilet,bathroom
Where is the bathroom?,Where is the toilet?,British,A room containing a toilet,bathroom
He cleaned the bathroom this morning.,He cleaned the loo this morning.,British,A room containing a toilet,bathroom
The bathroom needs new towels.,The loo needs new towels.,British,A room containing a toilet,bathroom
She went to the bathroom after lunch.,She went to the toilet after lunch.,British,A room containing a toilet,bathroom
cookies,biscuits,British,Sweet baked treats,cookies
He baked a batch of cookies.,He baked a batch of biscuits.,British,Sweet baked treats,cookies
She loves chocolate chip cookies.,She loves chocolate chip biscuits.,British,Sweet baked treats,cookies
The jar is full of cookies.,The jar is full of biscuits.,British,Sweet baked treats,cookies
They offered us cookies with tea.,They offered us biscuits with tea.,British,Sweet baked treats,cookies
movie theater,cinema,British,A place where movies are shown,movie theater
We went to the movie theater to watch the film.,We went to the cinema to watch the film.,British,A place where movies are shown,movie theater
The movie theater was packed.,The cinema was packed.,British,A place where movies are shown,movie theater
He works at the local movie theater.,He works at the local cinema.,British,A place where movies are shown,movie theater
I love the snacks at the movie theater.,I love the snacks at the cinema.,British,A place where movies are shown,movie theater
comforter,duvet/duna,British,"A thick, quilted blanket for warmth",comforter
I need a new comforter for my bed.,I need a new duvet for my bed.,British,"A thick, quilted blanket for warmth",comforter
The comforter is very soft.,The duvet is very soft.,British,"A thick, quilted blanket for warmth",comforter
She washed the comforter.,She washed the duna.,British,"A thick, quilted blanket for warmth",comforter
He bought a comforter for the winter.,He bought a duvet for the winter.,British,"A thick, quilted blanket for warmth",comforter
comforter,duvet/duna,Australia,"A thick, quilted blanket for warmth",comforter
The comforter kept me warm all night.,The duna kept me warm all night.,Australia,"A thick, quilted blanket for warmth",comforter
She changed the comforter cover.,She changed the duvet cover.,Australia,"A thick, quilted blanket for warmth",comforter
He bought a new comforter for winter.,He bought a new duna for winter.,Australia,"A thick, quilted blanket for warmth",comforter
The comforter is in the linen closet.,The duvet is in the linen closet.,Australia,"A thick, quilted blanket for warmth",comforter
sidewalk,pavement/footpath,Australia,A path for pedestrians along the side of a road,sidewalk
The sidewalk is newly paved.,The footpath is newly paved.,Australia,A path for pedestrians along the side of a road,sidewalk
They walked along the sidewalk.,They walked along the footpath.,Australia,A path for pedestrians along the side of a road,sidewalk
There was a bike parked on the sidewalk.,There was a bike parked on the pavement.,Australia,A path for pedestrians along the side of a road,sidewalk
He jogged on the sidewalk every morning.,He jogged on the footpath every morning.,Australia,A path for pedestrians along the side of a road,sidewalk
sidewalk,pavement/footpath,British,A path for pedestrians along the side of a road,sidewalk
He tripped on the uneven sidewalk.,He tripped on the uneven pavement.,British,A path for pedestrians along the side of a road,sidewalk
She painted a mural along the sidewalk.,She painted a mural along the footpath.,British,A path for pedestrians along the side of a road,sidewalk
The sidewalk was crowded with people.,The footpath was crowded with people.,British,A path for pedestrians along the side of a road,sidewalk
The sidewalk leads to the park.,The footpath leads to the park.,British,A path for pedestrians along the side of a road,sidewalk
shoot the breeze,casual conversation,British,"To have a relaxed, informal chat",shoot the breeze
We decided to shoot the breeze over coffee.,We decided to have a casual conversation over coffee.,British,"To have a relaxed, informal chat",shoot the breeze
They often shoot the breeze on weekends.,They often have a casual conversation on weekends.,British,"To have a relaxed, informal chat",shoot the breeze
We spent the afternoon shooting the breeze.,We spent the afternoon in casual conversation.,British,"To have a relaxed, informal chat",shoot the breeze
He enjoys shooting the breeze with friends.,He enjoys having casual conversations with friends.,British,"To have a relaxed, informal chat",shoot the breeze
on the weekend,at the weekend,British,Refers to events happening over the weekend,on the weekend
We went hiking on the weekend.,We went hiking at the weekend.,British,Refers to events happening over the weekend,on the weekend
I like to relax on the weekend.,I like to relax at the weekend.,British,Refers to events happening over the weekend,on the weekend
potato chips,crisps,British,Thin slices of fried potatoes,potato chips
I ate a bag of potato chips while watching TV.,I ate a bag of crisps while watching TV.,British,Thin slices of fried potatoes,potato chips
She bought some potato chips from the store.,She bought some crisps from the store.,British,Thin slices of fried potatoes,potato chips
Do you want some potato chips with your sandwich?,Do you want some crisps with your sandwich?,British,Thin slices of fried potatoes,potato chips
eyeglasses,glasses,British,An item to improve vision,eyeglasses
I need to clean my eyeglasses.,I need to clean my glasses.,British,An item to improve vision,eyeglasses
These eyeglasses are new.,These glasses are new.,British,An item to improve vision,eyeglasses
Can you see clearly with those eyeglasses?,Can you see clearly with those glasses?,British,An item to improve vision,eyeglasses
Her eyeglasses are very stylish.,Her glasses are very stylish.,British,An item to improve vision,eyeglasses
trash can,rubbish bin,British,A container for waste,trash can
Please take out the trash can.,Please take out the rubbish bin.,British,A container for waste,trash can
The trash can is full.,The rubbish bin is full.,British,A container for waste,trash can
Thereâs a trash can in the kitchen.,Thereâs a rubbish bin in the kitchen.,British,A container for waste,trash can
The trash can smells.,The rubbish bin smells.,British,A container for waste,trash can
eggplant,aubergine,British,A type of vegetable,eggplant
Iâll add some eggplant to the dish.,Iâll add some aubergine to the dish.,British,A type of vegetable,eggplant
Eggplant is my favorite vegetable.,Aubergine is my favorite vegetable.,British,A type of vegetable,eggplant
Heâs cooking with eggplant tonight.,Heâs cooking with aubergine tonight.,British,A type of vegetable,eggplant
I donât like the taste of eggplant.,I donât like the taste of aubergine.,British,A type of vegetable,eggplant
can,tin,British,A metal container for food or drink,can
I need a can of beans.,I need a tin of beans.,British,A metal container for food or drink,can
Thereâs a can on the shelf.,Thereâs a tin on the shelf.,British,A metal container for food or drink,can
The can is hard to open.,The tin is hard to open.,British,A metal container for food or drink,can
He bought a can of soup.,He bought a tin of soup.,British,A metal container for food or drink,can
sweater,jumper,British,A knitted garment worn on the upper body,sweater
Iâll wear a sweater today.,Iâll wear a jumper today.,British,A knitted garment worn on the upper body,sweater
She knitted a new sweater.,She knitted a new jumper.,British,A knitted garment worn on the upper body,sweater
This sweater is warm.,This jumper is warm.,British,A knitted garment worn on the upper body,sweater
He wore a red sweater.,He wore a red jumper.,British,A knitted garment worn on the upper body,sweater
pinky,dinky,British,The smallest finger,pinky
She injured her pinky.,She injured her dinky.,British,The smallest finger,pinky
Hold up your pinky.,Hold up your dinky.,British,The smallest finger,pinky
The ring doesnât fit on my pinky.,The ring doesnât fit on my dinky.,British,The smallest finger,pinky
I wear a ring on my pinky.,I wear a ring on my dinky.,British,The smallest finger,pinky
underwear,pants,British,Clothing worn under outer clothes,underwear
I need to buy new underwear.,I need to buy new pants.,British,Clothing worn under outer clothes,underwear
She forgot to pack her underwear.,She forgot to pack her pants.,British,Clothing worn under outer clothes,underwear
His underwear was comfortable.,His pants were comfortable.,British,Clothing worn under outer clothes,underwear
I need fresh underwear.,I need fresh pants.,British,Clothing worn under outer clothes,underwear
pants,trousers,British,A piece of clothing worn from waist to ankle,pants
He wore black pants.,He wore black trousers.,British,A piece of clothing worn from waist to ankle,pants
My pants are dirty.,My trousers are dirty.,British,A piece of clothing worn from waist to ankle,pants
I need new pants.,I need new trousers.,British,A piece of clothing worn from waist to ankle,pants
His pants have a rip.,His trousers have a rip.,British,A piece of clothing worn from waist to ankle,pants
chips,crisps,British,Thinly sliced fried potatoes,chips
I love eating chips.,I love eating crisps.,British,Thinly sliced fried potatoes,chips
The chips are salty.,The crisps are salty.,British,Thinly sliced fried potatoes,chips
She bought a bag of chips.,She bought a bag of crisps.,British,Thinly sliced fried potatoes,chips
Would you like some chips?,Would you like some crisps?,British,Thinly sliced fried potatoes,chips
subway,underground,British,An underground train system,subway
She took the subway to work.,She took the underground to work.,British,An underground train system,subway
The subway is crowded.,The underground is crowded.,British,An underground train system,subway
Where is the nearest subway station?,Where is the nearest underground station?,British,An underground train system,subway
I prefer taking the subway.,I prefer taking the underground.,British,An underground train system,subway
first floor,ground floor,British,The floor at street level in a building,first floor
Her office is on the first floor.,Her office is on the ground floor.,British,The floor at street level in a building,first floor
The elevator stops at the first floor.,The elevator stops at the ground floor.,British,The floor at street level in a building,first floor
The first floor has a lobby.,The ground floor has a lobby.,British,The floor at street level in a building,first floor
Visitors enter on the first floor.,Visitors enter on the ground floor.,British,The floor at street level in a building,first floor
apartment,flat,British,A residential unit in a building,apartment
She lives in a small apartment.,She lives in a small flat.,British,A residential unit in a building,apartment
The apartment has two bedrooms.,The flat has two bedrooms.,British,A residential unit in a building,apartment
They just bought a new apartment.,They just bought a new flat.,British,A residential unit in a building,apartment
The apartment is on the third floor.,The flat is on the third floor.,British,A residential unit in a building,apartment
elevator,lift,British,A machine used to move people or goods between floors,elevator
Take the elevator to the top floor.,Take the lift to the top floor.,British,A machine used to move people or goods between floors,elevator
The elevator is out of order.,The lift is out of order.,British,A machine used to move people or goods between floors,elevator
We took the elevator down.,We took the lift down.,British,A machine used to move people or goods between floors,elevator
The elevator is very slow.,The lift is very slow.,British,A machine used to move people or goods between floors,elevator
vacation,holiday,British,A period of time spent away from work or school,vacation
Weâre going on vacation next week.,Weâre going on holiday next week.,British,A period of time spent away from work or school,vacation
She took a two-week vacation.,She took a two-week holiday.,British,A period of time spent away from work or school,vacation
I need a vacation.,I need a holiday.,British,A period of time spent away from work or school,vacation
They plan to travel on vacation.,They plan to travel on holiday.,British,A period of time spent away from work or school,vacation
sidewalk,pavement,British,A path beside a road for pedestrians,sidewalk
He walked along the sidewalk.,He walked along the pavement.,British,A path beside a road for pedestrians,sidewalk
Thereâs a crack in the sidewalk.,Thereâs a crack in the pavement.,British,A path beside a road for pedestrians,sidewalk
The sidewalk is wet after the rain.,The pavement is wet after the rain.,British,A path beside a road for pedestrians,sidewalk
They fixed the sidewalk.,They fixed the pavement.,British,A path beside a road for pedestrians,sidewalk
lawyer,solicitor,British,A person who practices law,lawyer
She hired a lawyer.,She hired a solicitor.,British,A person who practices law,lawyer
The lawyer gave him advice.,The solicitor gave him advice.,British,A person who practices law,lawyer
He needs a lawyer for the case.,He needs a solicitor for the case.,British,A person who practices law,lawyer
The lawyer prepared the documents.,The solicitor prepared the documents.,British,A person who practices law,lawyer
reckon,think,British,To believe or suppose,reckon
I reckon it's going to rain tomorrow.,I think it's going to rain tomorrow.,British,To believe or suppose,reckon
Do you reckon she'll come to the party?,Do you think she'll come to the party?,British,To believe or suppose,reckon
I reckon this is a good idea.,I think this is a good idea.,British,To believe or suppose,reckon
He reckons it will take an hour to get there.,He thinks it will take an hour to get there.,British,To believe or suppose,reckon
pants (as in 'that sucks'),rubbish,British,Of low quality or disappointing,pants
That movie was pants.,That movie was rubbish.,British,Of low quality or disappointing,pants
His performance was totally pants.,His performance was totally rubbish.,British,Of low quality or disappointing,pants
The service here is pants.,The service here is rubbish.,British,Of low quality or disappointing,pants
The food was pretty pants.,The food was pretty rubbish.,British,Of low quality or disappointing,pants
mate,friend,British,A friend or companion,mate
He's my best mate.,He's my best friend.,British,A friend or companion,mate
I met my mates at the pub.,I met my friends at the pub.,British,A friend or companion,mate
My mates are coming over tonight.,My friends are coming over tonight.,British,A friend or companion,mate
He's a good mate to me.,He's a good friend to me.,British,A friend or companion,mate
TV,telly,British,Television,TV
Let's watch something on the TV.,Let's watch something on the telly.,British,Television,TV
The kids are watching TV.,The kids are watching the telly.,British,Television,TV
I have a big TV in my living room.,I have a big telly in my living room.,British,Television,TV
"Turn off the TV, please.","Turn off the telly, please.",British,Television,TV
ground floor,first floor,British,The floor at ground level,ground floor
My office is on the ground floor.,My office is on the first floor.,British,The floor at ground level,ground floor
The store is located on the ground floor.,The store is located on the first floor.,British,The floor at ground level,ground floor
She lives on the ground floor.,She lives on the first floor.,British,The floor at ground level,ground floor
Our reception is on the ground floor.,Our reception is on the first floor.,British,The floor at ground level,ground floor
fall,autumn,British,The season between summer and winter,fall
The leaves change colors in the fall.,The leaves change colors in autumn.,British,The season between summer and winter,fall
Fall is my favorite season.,Autumn is my favorite season.,British,The season between summer and winter,fall
They go on vacation in the fall.,They go on vacation in autumn.,British,The season between summer and winter,fall
The weather cools down in the fall.,The weather cools down in autumn.,British,The season between summer and winter,fall
closet,wardrobe,British,A small room or compartment for storing items,closet
I hung my clothes in the closet.,I hung my clothes in the wardrobe.,British,A small room or compartment for storing items,closet
The closet is full of shoes.,The wardrobe is full of shoes.,British,A small room or compartment for storing items,closet
She has a walk-in closet.,She has a walk-in wardrobe.,British,A small room or compartment for storing items,closet
There are extra blankets in the closet.,There are extra blankets in the wardrobe.,British,A small room or compartment for storing items,closet
bathroom,loo,British,A room containing a toilet and sink,bathroom
I need to use the bathroom.,I need to use the loo.,British,A room containing a toilet and sink,bathroom
The bathroom is down the hall.,The loo is down the hall.,British,A room containing a toilet and sink,bathroom
There is only one bathroom in the house.,There is only one loo in the house.,British,A room containing a toilet and sink,bathroom
The bathroom is being cleaned.,The loo is being cleaned.,British,A room containing a toilet and sink,bathroom
sneakers,trainers,British,A type of casual shoe,sneakers
I bought new sneakers for jogging.,I bought new trainers for jogging.,British,A type of casual shoe,sneakers
He likes wearing sneakers with jeans.,He likes wearing trainers with jeans.,British,A type of casual shoe,sneakers
Her sneakers were bright and colorful.,Her trainers were bright and colorful.,British,A type of casual shoe,sneakers
The kids wore sneakers to the park.,The kids wore trainers to the park.,British,A type of casual shoe,sneakers
rubber,eraser,British,A small object for erasing pencil marks,rubber
I used a rubber to correct my mistake.,I used an eraser to correct my mistake.,British,A small object for erasing pencil marks,rubber
She always keeps a rubber in her pencil case.,She always keeps an eraser in her pencil case.,British,A small object for erasing pencil marks,rubber
This rubber is very effective on pencils.,This eraser is very effective on pencils.,British,A small object for erasing pencil marks,rubber
The teacher handed out a rubber for everyone.,The teacher handed out an eraser for everyone.,British,A small object for erasing pencil marks,rubber
chips,crisps,British,"Thin, fried potato snacks",chips
He likes eating chips with his sandwich.,He likes eating crisps with his sandwich.,British,"Thin, fried potato snacks",chips
We bought some chips for the road trip.,We bought some crisps for the road trip.,British,"Thin, fried potato snacks",chips
These chips are very salty.,These crisps are very salty.,British,"Thin, fried potato snacks",chips
Kids love to snack on chips during movies.,Kids love to snack on crisps during movies.,British,"Thin, fried potato snacks",chips
fries,chips,British,"Long, fried potato strips",fries
She ordered fries with her burger.,She ordered chips with her burger.,British,"Long, fried potato strips",fries
Fries are best with ketchup.,Chips are best with ketchup.,British,"Long, fried potato strips",fries
The kids enjoy fries with their meals.,The kids enjoy chips with their meals.,British,"Long, fried potato strips",fries
He likes his fries extra crispy.,He likes his chips extra crispy.,British,"Long, fried potato strips",fries
eggplant,aubergine,British,A purple vegetable used in cooking,eggplant
The recipe calls for one large eggplant.,The recipe calls for one large aubergine.,British,A purple vegetable used in cooking,eggplant
She grows eggplants in her garden.,She grows aubergines in her garden.,British,A purple vegetable used in cooking,eggplant
They served grilled eggplant at dinner.,They served grilled aubergine at dinner.,British,A purple vegetable used in cooking,eggplant
Eggplant is a versatile vegetable.,Aubergine is a versatile vegetable.,British,A purple vegetable used in cooking,eggplant
flashlight,torch,British,"A portable, hand-held light source",flashlight
He carried a flashlight in case it got dark.,He carried a torch in case it got dark.,British,"A portable, hand-held light source",flashlight
She found her way using a flashlight.,She found her way using a torch.,British,"A portable, hand-held light source",flashlight
"The power was out, so we used a flashlight.","The power was out, so we used a torch.",British,"A portable, hand-held light source",flashlight
Kids love playing with a flashlight.,Kids love playing with a torch.,British,"A portable, hand-held light source",flashlight
cart,trolley,British,A small vehicle for carrying items,cart
She pushed the cart through the store.,She pushed the trolley through the store.,British,A small vehicle for carrying items,cart
He loaded the cart with groceries.,He loaded the trolley with groceries.,British,A small vehicle for carrying items,cart
The cart was full by the end of the trip.,The trolley was full by the end of the trip.,British,A small vehicle for carrying items,cart
You can leave your cart at the entrance.,You can leave your trolley at the entrance.,British,A small vehicle for carrying items,cart
bangs,fringe,British,The front part of hair cut across the forehead,bangs
She decided to cut her bangs short.,She decided to cut her fringe short.,British,The front part of hair cut across the forehead,bangs
His bangs cover his eyes.,His fringe covers his eyes.,British,The front part of hair cut across the forehead,bangs
The stylist trimmed her bangs neatly.,The stylist trimmed her fringe neatly.,British,The front part of hair cut across the forehead,bangs
She brushed her bangs to the side.,She brushed her fringe to the side.,British,The front part of hair cut across the forehead,bangs
cookie,biscuit,British,A small baked sweet snack,cookie
I love eating a chocolate chip cookie.,I love eating a chocolate chip biscuit.,British,A small baked sweet snack,cookie
She baked a batch of cookies.,She baked a batch of biscuits.,British,A small baked sweet snack,cookie
Would you like a cookie with your tea?,Would you like a biscuit with your tea?,British,A small baked sweet snack,cookie
The cookies are in the jar.,The biscuits are in the jar.,British,A small baked sweet snack,cookie
fall,autumn,British,The season after summer and before winter,fall
The leaves turn color in the fall.,The leaves turn color in the autumn.,British,The season after summer and before winter,fall
Fall is my favorite season.,Autumn is my favorite season.,British,The season after summer and before winter,fall
The days get shorter in fall.,The days get shorter in autumn.,British,The season after summer and before winter,fall
Kids go back to school in the fall.,Kids go back to school in the autumn.,British,The season after summer and before winter,fall
sidewalk,pavement,British,A path for pedestrians beside the road,sidewalk
"Walk on the sidewalk, not the road.","Walk on the pavement, not the road.",British,A path for pedestrians beside the road,sidewalk
She tripped on the uneven sidewalk.,She tripped on the uneven pavement.,British,A path for pedestrians beside the road,sidewalk
They painted the sidewalk green for the festival.,They painted the pavement green for the festival.,British,A path for pedestrians beside the road,sidewalk
The sidewalk is crowded in the mornings.,The pavement is crowded in the mornings.,British,A path for pedestrians beside the road,sidewalk
oven,cooker,British,A device used for baking or cooking food,oven
Preheat the oven to 200 degrees.,Preheat the cooker to 200 degrees.,British,A device used for baking or cooking food,oven
The oven takes a while to heat up.,The cooker takes a while to heat up.,British,A device used for baking or cooking food,oven
She cooked the chicken in the oven.,She cooked the chicken in the cooker.,British,A device used for baking or cooking food,oven
Please turn off the oven when you're done.,Please turn off the cooker when you're done.,British,A device used for baking or cooking food,oven
toilet,loo,British,A restroom or bathroom facility,toilet
Where is the toilet?,Where is the loo?,British,A restroom or bathroom facility,toilet
The toilet is out of order.,The loo is out of order.,British,A restroom or bathroom facility,toilet
She went to clean the toilet.,She went to clean the loo.,British,A restroom or bathroom facility,toilet
Can I use your toilet?,Can I use your loo?,British,A restroom or bathroom facility,toilet
rubbish,garbage,US,Waste material; trash,rubbish
"Take out the rubbish, please.","Take out the garbage, please.",US,Waste material; trash,rubbish
The rubbish is piling up.,The garbage is piling up.,US,Waste material; trash,rubbish
Donât forget to separate your rubbish.,Donât forget to separate your garbage.,US,Waste material; trash,rubbish
The rubbish truck arrives on Wednesdays.,The garbage truck arrives on Wednesdays.,US,Waste material; trash,rubbish
I fancy you,I like you,US,To be attracted to someone or have a liking for them,I fancy you
"He said, 'I fancy you' with a shy smile.","He said, 'I like you' with a shy smile.",US,To be attracted to someone or have a liking for them,I fancy you
I didnât know you fancy me.,I didnât know you like me.,US,To be attracted to someone or have a liking for them,I fancy you
"When she said 'I fancy you', he blushed.","When she said 'I like you', he blushed.",US,To be attracted to someone or have a liking for them,I fancy you
Itâs nice to hear 'I fancy you' from someone special.,Itâs nice to hear 'I like you' from someone special.,US,To be attracted to someone or have a liking for them,I fancy you
to let,for rent,British,Available to be rented out,to let
This house is to let.,This house is for rent.,British,Available to be rented out,to let
Thereâs a sign saying 'to let'.,Thereâs a sign saying 'for rent'.,British,Available to be rented out,to let
Is this property to let?,Is this property for rent?,British,Available to be rented out,to let
The flat next door is to let.,The flat next door is for rent.,British,Available to be rented out,to let
knackered,exhausted,US,Very tired,knackered
I'm knackered after that long walk.,I'm exhausted after that long walk.,US,Very tired,knackered
He looks knackered after the workout.,He looks exhausted after the workout.,US,Very tired,knackered
She felt knackered after a busy day at work.,She felt exhausted after a busy day at work.,US,Very tired,knackered
"By the end of the day, we were all knackered.","By the end of the day, we were all exhausted.",US,Very tired,knackered
That's bull.,That's rubbish.,British,Nonsense or something untrue,bull
What you said is bull.,What you said is rubbish.,British,Nonsense or something untrue,bull
I don't believe that's bull.,I don't believe that's rubbish.,British,Nonsense or something untrue,bull
Thatâs complete bull.,Thatâs complete rubbish.,British,Nonsense or something untrue,bull
Stop talking bull.,Stop talking rubbish.,British,Nonsense or something untrue,bull
Are you all right?,You all right?,British,Asking if someone is okay,Are you all right?
Are you all right? You look pale.,You all right? You look pale.,British,Asking if someone is okay,Are you all right?
Are you all right? You seem upset.,You all right? You seem upset.,British,Asking if someone is okay,Are you all right?
"I heard you were sick, are you all right?","I heard you were sick, you all right?",British,Asking if someone is okay,Are you all right?
Are you all right? Do you need help?,You all right? Do you need help?,British,Asking if someone is okay,Are you all right?
Bob's your uncle.,There you have it.,British,Used to express the result or completion of something,Bob's your uncle
"Just follow the instructions, and Bob's your uncle.","Just follow the instructions, and there you have it.",British,Used to express the result or completion of something,Bob's your uncle
"You put the parts together, and Bob's your uncle.","You put the parts together, and there you have it.",British,Used to express the result or completion of something,Bob's your uncle
"Just click on the link, and Bob's your uncle.","Just click on the link, and there you have it.",British,Used to express the result or completion of something,Bob's your uncle
"Bob's your uncle, the task is done.","There you have it, the task is done.",British,Used to express the result or completion of something,Bob's your uncle
How are you doing?,You all right?,British,Asking how someone is,How are you doing?
How are you doing today?,You all right today?,British,Asking how someone is,How are you doing?
"How are you doing, feeling okay?","You all right, feeling okay?",British,Asking how someone is,How are you doing?
How are you doing after the accident?,You all right after the accident?,British,Asking how someone is,How are you doing?
How are you doing with the project?,You all right with the project?,British,Asking how someone is,How are you doing?
rubber,eraser,British,An object used for removing pencil marks,rubber
I need a rubber to fix my mistake.,I need an eraser to fix my mistake.,British,An object used for removing pencil marks,rubber
Do you have a rubber?,Do you have an eraser?,British,An object used for removing pencil marks,rubber
She used a rubber to erase her drawing.,She used an eraser to erase her drawing.,British,An object used for removing pencil marks,rubber
Where's my rubber?,Where's my eraser?,British,An object used for removing pencil marks,rubber
chips,crisps,British,Thin slices of potato that are fried or baked,chips
I like to eat chips with my sandwich.,I like to eat crisps with my sandwich.,British,Thin slices of potato that are fried or baked,chips
Do you want some chips?,Do you want some crisps?,British,Thin slices of potato that are fried or baked,chips
They sell chips at the corner shop.,They sell crisps at the corner shop.,British,Thin slices of potato that are fried or baked,chips
I bought a packet of chips.,I bought a packet of crisps.,British,Thin slices of potato that are fried or baked,chips
public school,private school,British,A school that charges fees and selects students based on ability,public school
He went to a public school.,He went to a private school.,British,A school that charges fees and selects students based on ability,public school
Public schools in the British are very prestigious.,Private schools in the British are very prestigious.,British,A school that charges fees and selects students based on ability,public school
She studied at a public school in London.,She studied at a private school in London.,British,A school that charges fees and selects students based on ability,public school
They prefer sending their kids to public school.,They prefer sending their kids to private school.,British,A school that charges fees and selects students based on ability,public school
restroom,loo,British,A room for using the toilet,restroom
I need to find a restroom.,I need to find a loo.,British,A room for using the toilet,restroom
The restroom is on the left.,The loo is on the left.,British,A room for using the toilet,restroom
"Excuse me, where's the restroom?","Excuse me, where's the loo?",British,A room for using the toilet,restroom
Restrooms are located on each floor.,Loos are located on each floor.,British,A room for using the toilet,restroom
I'd love a cup of tea.,Do you fancy a cuppa?,British,A wish or desire for tea,I'd love a cup of tea
I'd love a cup of tea with milk.,Do you fancy a cuppa with milk?,British,A wish or desire for tea,I'd love a cup of tea
I'd love a cup of tea right now.,Do you fancy a cuppa right now?,British,A wish or desire for tea,I'd love a cup of tea
